fuel,year,January,February,March,April,May,June,July,August,September,October,November,December
coal,2551,1063.01,1063.57,1063.98,1065.19,1064.87,1063.77,1063.46,1063.21,1062.24,1062.57,1061.37,1061.09
coal,2552,1062.25,1062.54,1063.76,1064.58,1064.22,1062.74,1062.53,1062.71,1063.01,1061.7,1062.11,1062.48
coal,2553,1063.47,1063.89,1064.04,1065.23,1064.48,1064.57,1063.21,1063.39,1064.54,1065.36,1065.71,1065.96
gas,2551,9061.65,9062.13,9062.19,9062.88,9061.25,9061.79,9061.82,9062.17,9062.49,9062.81,9063.49,9063.68
gas,2552,9064.63,9064.58,9065.93,9065.87,9064.31,9064.29,9063.97,9064.78,9063.64,9064.42,9064.23,9065.76
gas,2553,9066.32,9066.37,9069.43,9071.04,9070.79,9069.14,9068.02,9067.33,9066.82,9065.12,9065.89,9066.41
water,2551,538.62,538.71,539.11,539.57,539.48,536.72,536.14,535.86,535.82,534.71,534.66,534.21
water,2552,542.59,541.25,542.75,542.88,541.96,541.65,541.58,542.01,542.16,537.66,537.41,538.33
water,2553,541.73,538.68,553.34,558.72,552.17,547.63,545.24,542.61,538.41,535.46,534.36,534.86
